,code,name,name_jp,type,type_jp,address,postal_code,phone,state,state_jp,latitude,longitude,found,faculty_count,department_count,has_grad,has_remote,review_rating,review_count,difficulty_SD,difficulty_rank
0,F101110100010,Hokkaido University,北海道大学,National,国立,北海道札幌市北区北8条西5丁目,060－0808,011－716－2111,Hokkai Do,北海道,43.070446,141.347153,1876-08,33,78,True,False,4.16,1389.0,60.4,A
1,F101110100029,Hokkaido University of Education,北海道教育大学,National,国立,北海道札幌市北区あいの里5条3－1－3,002－8501,011－778－0206,Hokkai Do,北海道,43.170498,141.393753,1943-04,3,8,True,False,3.79,544.0,47.1,D
2,F101110100038,Muroran Institute of Technology,室蘭工業大学,National,国立,北海道室蘭市水元町27－1,050－8585,0143－46－5000,Hokkai Do,北海道,42.378716,141.034042,1897-05,3,10,True,False,3.66,126.0,39.0,F
3,F101110100047,Otaru University of Commerce,小樽商科大学,National,国立,北海道小樽市緑3－5－21,047－8501,0134－27－5206,Hokkai Do,北海道,43.190952,140.97937,1910-03,2,6,True,False,3.8,257.0,50.0,C
4,F101110100056,Obihiro University of Agriculture And Veterinary Medicine,帯広畜産大学,National,国立,北海道帯広市稲田町西2線11,080－8555,0155－49－5216,Hokkai Do,北海道,42.872356,143.177979,1941-04,3,5,True,False,4.2,87.0,54.5,B
5,F101110100074,Asahikawa Medical University,旭川医科大学,National,国立,北海道旭川市緑が丘東2条1－1－1,078－8510,0166－65－2111,Hokkai Do,北海道,43.730633,142.381897,1973-09,2,4,True,False,3.93,76.0,56.8,B
6,F101110100065,Kitami Institute of Technology,北見工業大学,National,国立,北海道北見市公園町165,090－8507,0157－26－9113,Hokkai Do,北海道,43.822479,143.905716,1960-04,2,6,True,False,3.66,106.0,39.5,E
7,F102110100572,Hirosaki University,弘前大学,National,国立,青森県弘前市文京町1,036－8560,0172－36－2111,Aomori Ken,青森県,40.587959,140.472061,1920-11,13,29,True,False,3.84,546.0,48.0,D
8,F103110100731,Iwate University,岩手大学,National,国立,岩手県盛岡市上田3－18－8,020－8550,019－621－6006,Iwate Ken,岩手県,39.712715,141.137711,1902-03,9,24,True,False,3.89,435.0,46.0,D
9,F104110100856,Tohoku University,東北大学,National,国立,宮城県仙台市青葉区片平2－1－1,980－8577,022－717－7800,Miyagi Ken,宮城県,38.252632,140.873932,1886-04,25,78,True,False,4.18,1213.0,60.3,A
10,F104110100865,Miyagi University of Education,宮城教育大学,National,国立,宮城県仙台市青葉区荒巻字青葉149,980－0845,022－214－3417,Miyagi Ken,宮城県,38.258968,140.830948,1965-04,2,4,True,False,3.95,182.0,45.4,D
11,F105110101051,Akita University,秋田大学,National,国立,秋田県秋田市手形学園町1－1,010－8502,018－889－2207,Akita Ken,秋田県,39.726997,140.134094,1910-03,8,25,True,False,3.8,367.0,47.1,D
12,F106110101176,Yamagata University,山形大学,National,国立,山形県山形市小白川町1－4－12,990－8560,023－628－4006,Yamagata Ken,山形県,38.246128,140.349655,1910-03,15,41,True,False,3.76,553.0,47.2,D
13,F107110101273,Fukushima University,福島大学,National,国立,福島県福島市金谷川1,960－1296,024－548－5151,Fukushima Ken,福島県,37.682877,140.454041,1921-12,7,13,True,False,3.72,367.0,40.6,E
14,F108110101414,Ibaraki University,茨城大学,National,国立,茨城県水戸市文京2－1－1,310－8512,029－228－8111,Ibaraki Ken,茨城県,36.401237,140.442764,1920-04,11,39,True,False,3.81,548.0,48.7,D
15,F108110101423,University of Tsukuba,筑波大学,National,国立,茨城県つくば市天王台1－1－1,305－8577,029－853－2111,Ibaraki Ken,茨城県,36.108723,140.100632,1973-10,20,97,True,False,4.17,1121.0,60.4,A
16,F108110101432,Tsukuba University of Technology,筑波技術大学,National,国立,茨城県つくば市天久保4－3－15,305－8520,029－852－2931,Ibaraki Ken,茨城県,36.10537,140.110474,1987-10,3,7,True,False,4.12,22.0,35.7,F
17,F109110101556,Utsunomiya University,宇都宮大学,National,国立,栃木県宇都宮市峰町350,321－8505,028－649－8172,Tochigi Ken,栃木県,36.550312,139.914886,1922-10,9,18,True,False,3.95,313.0,50.9,C
18,F110110101713,Gunma University,群馬大学,National,国立,群馬県前橋市荒牧町4－2,371－8510,027－220－7111,Gunma Ken,群馬県,36.430313,139.045197,1915-12,11,20,True,False,3.88,431.0,52.5,C
19,F111110101945,Saitama University,埼玉大学,National,国立,埼玉県さいたま市桜区下大久保255,338－8570,048－858－3005,Saitama Ken,埼玉県,35.862579,139.608246,1921-11,10,43,True,False,3.88,784.0,53.0,C
20,F112110102337,Chiba University,千葉大学,National,国立,千葉県千葉市稲毛区弥生町1－33,263－8522,043－251－1111,Chiba Ken,千葉県,35.625977,140.103653,1921-12,17,38,True,False,4.07,1088.0,58.1,B
21,F113110102700,The University of Tokyo,東京大学,National,国立,東京都文京区本郷7－3－1,113－8654,03－3812－2111,Tokyo To,東京都,35.714146,139.763214,1877-04,25,132,True,False,4.34,2206.0,70.5,S
22,F113110102719,Tokyo Medical And Dental University,東京医科歯科大学,National,国立,東京都文京区湯島1－5－45,113－8510,03－3813－6111,Tokyo To,東京都,35.701828,139.765274,1928-10,4,12,True,False,4.23,158.0,60.6,A
23,F113110102728,Tokyo University of Foreign Studies,東京外国語大学,National,国立,東京都府中市朝日町3－11－1,183－8534,042－330－5111,Tokyo To,東京都,35.672707,139.521042,1899-04,4,6,True,False,4.19,404.0,63.7,A
24,F113110102764,Tokyo Gakugei University,東京学芸大学,National,国立,東京都小金井市貫井北町4－1－1,184－8501,042－329－7111,Tokyo To,東京都,35.706203,139.49176,1943-04,4,10,True,False,4.08,584.0,54.5,B
25,F113110102773,Tokyo University of Agriculture And Technology,東京農工大学,National,国立,東京都府中市晴見町3－8－1,183－8538,042－367－5504,Tokyo To,東京都,35.683945,139.478668,1914-04,6,43,True,False,4.0,374.0,56.8,B
26,F113110102737,Tokyo University of The Arts,東京芸術大学,National,国立,東京都台東区上野公園12－8,110－8714,050－5525－2013,Tokyo To,東京都,35.719269,139.772217,1887-10,7,38,True,False,4.25,176.0,54.2,B
27,F113110102746,Tokyo Institute of Technology,東京工業大学,National,国立,東京都目黒区大岡山2－12－1,152－8550,03－3726－1111,Tokyo To,東京都,35.606895,139.684875,1881-05,12,12,True,False,4.25,433.0,65.0,S
28,F113110102817,Tokyo University of Marine Science And Technology,東京海洋大学,National,国立,東京都港区港南4－5－7,108－8477,03－5463－0400,Tokyo To,東京都,35.626247,139.746521,1875-11,6,20,True,False,4.16,187.0,53.1,C
29,F113110102755,Ochanomizu University,お茶の水女子大学,National,国立,東京都文京区大塚2－1－1,112－8610,03－5978－5106,Tokyo To,東京都,35.71973,139.733475,1874-03,4,20,True,False,4.3,396.0,60.6,A
