"No","設置場所","市区町村","町目番地","経度","緯度","分類"
"122","神戸三宮高架商店街（ピアザKOBE２-3）","神戸市中央区","北長狭通","135.190689","34.691513","KOBE Free WiFi アクセスポイント"
"123","神戸三宮高架商店街（ピアザKOBE２-4）","神戸市中央区","北長狭通","135.190978","34.691686","KOBE Free WiFi アクセスポイント"
"124","神戸三宮高架商店街（ピアザKOBE２-5）","神戸市中央区","北長狭通","135.191229","34.691836","KOBE Free WiFi アクセスポイント"
"125","神戸三宮高架商店街（ピアザKOBE２-6）","神戸市中央区","北長狭通","135.191399","34.691937","KOBE Free WiFi アクセスポイント"
"126","神戸三宮高架商店街（ピアザKOBE３-1）","神戸市中央区","北長狭通","135.18892","34.690443","KOBE Free WiFi アクセスポイント"
"127","神戸三宮高架商店街（ピアザKOBE３-2）","神戸市中央区","北長狭通","135.189245","34.690639","KOBE Free WiFi アクセスポイント"
"128","神戸三宮高架商店街（ピアザKOBE３-3）","神戸市中央区","北長狭通","135.18951","34.690805","KOBE Free WiFi アクセスポイント"
"129","神戸三宮高架商店街（ピアザKOBE３-4）","神戸市中央区","北長狭通","135.189849","34.691014","KOBE Free WiFi アクセスポイント"
"130","エネオスドクタードライブ（グリーンヒル学園店）","神戸市垂水区","多聞町小束山868","135.0599985","34.671078","KOBE Free WiFi アクセスポイント"
"131","ナダシンの餅","神戸市灘区","下河原通3-1-8","135.233019","34.709856","KOBE Free WiFi アクセスポイント"
"132","寿楼　臨水亭","神戸市須磨区","須磨寺町3-5-18","135.113683","34.65015","KOBE Free WiFi アクセスポイント"
"133","神戸ステーキプロベラ","神戸市中央区","磯上通8-1-14","135.196167","34.691269","KOBE Free WiFi アクセスポイント"
"134","灘浜福鶴蔵","神戸市東灘区","魚崎南町4-4-6","135.272974","34.709621","KOBE Free WiFi アクセスポイント"
"135","料亭旅館豊福","神戸市中央区","花隈町23-18","135.180782","34.687691","KOBE Free WiFi アクセスポイント"
"136","元町商店街_国際楽器株式会社","神戸市中央区","元町通１丁目４?１８","135.1894815","34.688745","KOBE Free WiFi アクセスポイント"
"137","元町商店街_カメラのナニワ","神戸市中央区","元町通１丁目４－１８","135.1894815","34.688745","KOBE Free WiFi アクセスポイント"
"138","元町商店街_元町時計","神戸市中央区","元町通１丁目８?５","135.1885995","34.688853","KOBE Free WiFi アクセスポイント"
"139","元町商店街_クロールバリエ","神戸市中央区","元町通２丁目１?９","135.187812","34.688484","KOBE Free WiFi アクセスポイント"
"140","元町商店街_マサニ電気","神戸市中央区","元町通１丁目１０?２","135.1884105","34.688808","KOBE Free WiFi アクセスポイント"
